phenotype	variable_type	source	n_non_missing	n_missing	n_controls	n_cases
I34	categorical	icd10	361194	0	360642	552
R90	categorical	icd10	361194	0	361067	127
I87	categorical	icd10	361194	0	361071	123
C92	categorical	icd10	361194	0	360866	328
D47	categorical	icd10	361194	0	360937	257
H11	categorical	icd10	361194	0	360766	428
N62	categorical	icd10	361194	0	360645	549
H00	categorical	icd10	361194	0	359727	1467
N45	categorical	icd10	361194	0	360589	605
I48	categorical	icd10	361194	0	354838	6356
N83	categorical	icd10	361194	0	358979	2215
R61	categorical	icd10	361194	0	361074	120
J43	categorical	icd10	361194	0	361065	129
C18	categorical	icd10	361194	0	358968	2226
D86	categorical	icd10	361194	0	361024	170
D75	categorical	icd10	361194	0	360898	296
J35	categorical	icd10	361194	0	360500	694
L30	categorical	icd10	361194	0	360860	334
K35	categorical	icd10	361194	0	358790	2404
D03	categorical	icd10	361194	0	360617	577
R19	categorical	icd10	361194	0	352398	8796
L27	categorical	icd10	361194	0	361075	119
Z13	categorical	icd10	361194	0	358958	2236
S22	categorical	icd10	361194	0	360247	947
S67	categorical	icd10	361194	0	361090	104
C83	categorical	icd10	361194	0	360607	587
T78	categorical	icd10	361194	0	360547	647
I24	categorical	icd10	361194	0	360707	487
J39	categorical	icd10	361194	0	360824	370
H40	categorical	icd10	361194	0	359479	1715
J15	categorical	icd10	361194	0	360968	226
S80	categorical	icd10	361194	0	360963	231
S20	categorical	icd10	361194	0	361042	152
H81	categorical	icd10	361194	0	360853	341
O82	categorical	icd10	361194	0	360855	339
S30	categorical	icd10	361194	0	360948	246
D46	categorical	icd10	361194	0	361039	155
A63	categorical	icd10	361194	0	361093	101
O47	categorical	icd10	361194	0	360333	861
I49	categorical	icd10	361194	0	360391	803
D27	categorical	icd10	361194	0	360248	946
A08	categorical	icd10	361194	0	360731	463
S51	categorical	icd10	361194	0	361001	193
R20	categorical	icd10	361194	0	360248	946
K05	categorical	icd10	361194	0	360736	458
K40	categorical	icd10	361194	0	348047	13147
N12	categorical	icd10	361194	0	360611	583
J45	categorical	icd10	361194	0	359501	1693
R41	categorical	icd10	361194	0	360318	876
R42	categorical	icd10	361194	0	359514	1680
D14	categorical	icd10	361194	0	360991	203
M62	categorical	icd10	361194	0	360851	343
I80	categorical	icd10	361194	0	358905	2289
D10	categorical	icd10	361194	0	360823	371
M22	categorical	icd10	361194	0	360792	402
H33	categorical	icd10	361194	0	358523	2671
D43	categorical	icd10	361194	0	361079	115
N86	categorical	icd10	361194	0	360838	356
O42	categorical	icd10	361194	0	360537	657
R50	categorical	icd10	361194	0	360038	1156
C77	categorical	icd10	361194	0	360536	658
S56	categorical	icd10	361194	0	361039	155
L43	categorical	icd10	361194	0	360820	374
S92	categorical	icd10	361194	0	360513	681
G47	categorical	icd10	361194	0	358471	2723
S32	categorical	icd10	361194	0	360320	874
R69	categorical	icd10	361194	0	352914	8280
S43	categorical	icd10	361194	0	360869	325
I21	categorical	icd10	361194	0	355246	5948
M13	categorical	icd10	361194	0	360084	1110
D17	categorical	icd10	361194	0	356880	4314
J86	categorical	icd10	361194	0	361033	161
I70	categorical	icd10	361194	0	360628	566
S82	categorical	icd10	361194	0	356637	4557
O44	categorical	icd10	361194	0	361062	132
Z08	categorical	icd10	361194	0	356980	4214
C09	categorical	icd10	361194	0	361032	162
H25	categorical	icd10	361194	0	354862	6332
N21	categorical	icd10	361194	0	360723	471
S68	categorical	icd10	361194	0	360837	357
F32	categorical	icd10	361194	0	360418	776
Q21	categorical	icd10	361194	0	360881	313
M79	categorical	icd10	361194	0	354248	6946
R55	categorical	icd10	361194	0	356011	5183
K13	categorical	icd10	361194	0	359037	2157
C34	categorical	icd10	361194	0	359767	1427
I86	categorical	icd10	361194	0	360972	222
O60	categorical	icd10	361194	0	361017	177
I64	categorical	icd10	361194	0	360452	742
Z47	categorical	icd10	361194	0	358420	2774
G12	categorical	icd10	361194	0	361074	120
K43	categorical	icd10	361194	0	358945	2249
I50	categorical	icd10	361194	0	360106	1088
N40	categorical	icd10	361194	0	356085	5109
S64	categorical	icd10	361194	0	360822	372
O20	categorical	icd10	361194	0	360456	738
T39	categorical	icd10	361194	0	360033	1161
K81	categorical	icd10	361194	0	359264	1930
K58	categorical	icd10	361194	0	360073	1121
B02	categorical	icd10	361194	0	361033	161
M48	categorical	icd10	361194	0	359304	1890
E04	categorical	icd10	361194	0	360142	1052
D18	categorical	icd10	361194	0	360267	927
C78	categorical	icd10	361194	0	359816	1378
O23	categorical	icd10	361194	0	361085	109
H61	categorical	icd10	361194	0	360587	607
M10	categorical	icd10	361194	0	360879	315
N48	categorical	icd10	361194	0	359877	1317
Z39	categorical	icd10	361194	0	360887	307
M85	categorical	icd10	361194	0	361073	121
L53	categorical	icd10	361194	0	361083	111
I63	categorical	icd10	361194	0	358841	2353
R91	categorical	icd10	361194	0	360064	1130
L40	categorical	icd10	361194	0	360720	474
N82	categorical	icd10	361194	0	361078	116
R33	categorical	icd10	361194	0	358830	2364
L97	categorical	icd10	361194	0	360932	262
Q82	categorical	icd10	361194	0	361090	104
N35	categorical	icd10	361194	0	359157	2037
Z52	categorical	icd10	361194	0	360917	277
N31	categorical	icd10	361194	0	360180	1014
R76	categorical	icd10	361194	0	361073	121
O80	categorical	icd10	361194	0	359522	1672
K50	categorical	icd10	361194	0	360226	968
K66	categorical	icd10	361194	0	360789	405
E22	categorical	icd10	361194	0	361081	113
N75	categorical	icd10	361194	0	360604	590
K65	categorical	icd10	361194	0	360950	244
H43	categorical	icd10	361194	0	360746	448
Q18	categorical	icd10	361194	0	361092	102
K91	categorical	icd10	361194	0	360500	694
S01	categorical	icd10	361194	0	359500	1694
A41	categorical	icd10	361194	0	360098	1096
D34	categorical	icd10	361194	0	360998	196
M46	categorical	icd10	361194	0	360919	275
H59	categorical	icd10	361194	0	361067	127
I77	categorical	icd10	361194	0	360520	674
K41	categorical	icd10	361194	0	360728	466
J06	categorical	icd10	361194	0	360838	356
N60	categorical	icd10	361194	0	360037	1157
L02	categorical	icd10	361194	0	359497	1697
E86	categorical	icd10	361194	0	361004	190
H35	categorical	icd10	361194	0	359643	1551
I67	categorical	icd10	361194	0	360790	404
L81	categorical	icd10	361194	0	360683	511
G58	categorical	icd10	361194	0	361062	132
J18	categorical	icd10	361194	0	356564	4630
S12	categorical	icd10	361194	0	360985	209
L90	categorical	icd10	361194	0	359511	1683
K29	categorical	icd10	361194	0	348516	12678
K14	categorical	icd10	361194	0	360351	843
R23	categorical	icd10	361194	0	361051	143
C56	categorical	icd10	361194	0	360501	693
C19	categorical	icd10	361194	0	360696	498
K30	categorical	icd10	361194	0	353608	7586
D70	categorical	icd10	361194	0	360212	982
E87	categorical	icd10	361194	0	360630	564
O04	categorical	icd10	361194	0	360271	923
M00	categorical	icd10	361194	0	360938	256
D45	categorical	icd10	361194	0	360945	249
K12	categorical	icd10	361194	0	360923	271
S91	categorical	icd10	361194	0	361048	146
R18	categorical	icd10	361194	0	360835	359
L98	categorical	icd10	361194	0	357159	4035
G24	categorical	icd10	361194	0	361087	107
J44	categorical	icd10	361194	0	359663	1531
Z42	categorical	icd10	361194	0	359231	1963
O68	categorical	icd10	361194	0	359312	1882
R13	categorical	icd10	361194	0	357723	3471
D63	categorical	icd10	361194	0	361080	114
I44	categorical	icd10	361194	0	360543	651
I71	categorical	icd10	361194	0	360630	564
N94	categorical	icd10	361194	0	359899	1295
I45	categorical	icd10	361194	0	360902	292
Z71	categorical	icd10	361194	0	360976	218
N92	categorical	icd10	361194	0	352719	8475
I12	categorical	icd10	361194	0	361018	176
N36	categorical	icd10	361194	0	360822	372
N99	categorical	icd10	361194	0	360593	601
L85	categorical	icd10	361194	0	360778	416
J90	categorical	icd10	361194	0	360161	1033
O69	categorical	icd10	361194	0	361026	168
M81	categorical	icd10	361194	0	360457	737
O14	categorical	icd10	361194	0	361010	184
H34	categorical	icd10	361194	0	360891	303
H72	categorical	icd10	361194	0	360552	642
R94	categorical	icd10	361194	0	360458	736
Z43	categorical	icd10	361194	0	359838	1356
M23	categorical	icd10	361194	0	349363	11831
O16	categorical	icd10	361194	0	360830	364
C32	categorical	icd10	361194	0	361035	159
I85	categorical	icd10	361194	0	360913	281
Z41	categorical	icd10	361194	0	360594	600
R79	categorical	icd10	361194	0	358572	2622
K11	categorical	icd10	361194	0	360436	758
D11	categorical	icd10	361194	0	360818	376
T86	categorical	icd10	361194	0	361031	163
M16	categorical	icd10	361194	0	352058	9136
N49	categorical	icd10	361194	0	361073	121
C91	categorical	icd10	361194	0	360845	349
S83	categorical	icd10	361194	0	360614	580
C54	categorical	icd10	361194	0	360206	988
O48	categorical	icd10	361194	0	360735	459
O21	categorical	icd10	361194	0	361029	165
H49	categorical	icd10	361194	0	361059	135
H50	categorical	icd10	361194	0	360553	641
C71	categorical	icd10	361194	0	360826	368
R40	categorical	icd10	361194	0	361057	137
S00	categorical	icd10	361194	0	360290	904
O03	categorical	icd10	361194	0	360044	1150
D04	categorical	icd10	361194	0	360792	402
I47	categorical	icd10	361194	0	359509	1685
Z48	categorical	icd10	361194	0	360407	787
N32	categorical	icd10	361194	0	356956	4238
K55	categorical	icd10	361194	0	360832	362
N70	categorical	icd10	361194	0	361003	191
R00	categorical	icd10	361194	0	358652	2542
S62	categorical	icd10	361194	0	359431	1763
K83	categorical	icd10	361194	0	360312	882
M51	categorical	icd10	361194	0	356504	4690
N18	categorical	icd10	361194	0	360673	521
O64	categorical	icd10	361194	0	360960	234
K62	categorical	icd10	361194	0	347312	13882
E27	categorical	icd10	361194	0	361001	193
Z29	categorical	icd10	361194	0	361088	106
D26	categorical	icd10	361194	0	361030	164
D09	categorical	icd10	361194	0	361053	141
G45	categorical	icd10	361194	0	359450	1744
K11_VOLVU	categorical	finngen	361194	0	360974	220
H7_ENTROPION	categorical	finngen	361194	0	360642	552
G6_INTRACRATRAUMA	categorical	finngen	361194	0	360368	826
K11_PERITON	categorical	finngen	361194	0	360429	765
M13_RHEUMATISM	categorical	finngen	361194	0	361044	150
